peak_rank,peak_name,peak_elevation_ft,peak_range,route_name,is_standard,is_snow_climb,is_primary_for_peak,route_summits,difficulty,elevation_gain,distance,exposure,rockfall,route_finding,commitment,route_key,peak_id,peak_slug,road_difficulty
1,Mount Elbert,14438,Sawatch Range,Mt. Elbert - Northeast Ridge,true,false,true,Mt. Elbert,Class 1,"4,500'",9.75 mi,Low,Low,Low,Low,elbe1,10001,mount-elbert,1
1,Mount Elbert,14438,Sawatch Range,Mt. Elbert - Box Creek Couloirs,false,true,true,Mt. Elbert,Difficult Class 2 Moderate Snow,"4,150'",10 mi,Considerable,Moderate,Moderate,Considerable,elbe4,10001,mount-elbert,3
1,Mount Elbert,14438,Sawatch Range,Mt. Elbert - East Ridge,false,false,true,Mt. Elbert,Class 1,"4,200'",11.25 mi,Low,Low,Low,Moderate,elbe2,10001,mount-elbert,3
1,Mount Elbert,14438,Sawatch Range,Mt. Elbert - Southeast Ridge,false,false,true,Mt. Elbert,Class 2,"5,300'",10.5 mi,Low,Moderate,Moderate,Moderate,elbe3,10001,mount-elbert,1
2,Mount Massive,14427,Sawatch Range,Mt. Massive - East Slopes,true,false,true,Mt. Massive,Class 2,"4,500'",13.75 mi,Moderate,Moderate,Moderate,Moderate,mass1,10002,mount-massive,1
2,Mount Massive,14427,Sawatch Range,Mt. Massive - East Ridge,false,false,true,Mt. Massive,Difficult Class 2,"5,000'",14 mi,Moderate,Moderate,Considerable,Considerable,mass3,10002,mount-massive,0
2,Mount Massive,14427,Sawatch Range,Mt. Massive - Southwest Slopes,false,false,true,Mt. Massive,Class 2,"4,000'",8 mi,Moderate,Moderate,Low,Moderate,mass2,10002,mount-massive,4
3,Mount Harvard,14424,Sawatch Range,Mt. Columbia - West Slopes,true,false,false,Mt. Columbia,Class 2,"4,250'",12 mi,Moderate,Considerable,Moderate,Moderate,colu2,10003,mount-harvard,2
3,Mount Harvard,14424,Sawatch Range,Mt. Harvard - South Slopes,true,false,true,Mt. Harvard,Class 2,"4,600'",13.75 mi,Moderate,Moderate,Moderate,Moderate,harv1,10003,mount-harvard,2
3,Mount Harvard,14424,Sawatch Range,Combo: Harvard and Columbia Traverse,false,false,false,COMBO,Class 2,"6,100'",15 mi,Moderate,Considerable,High,High,harv4,10003,mount-harvard,2
3,Mount Harvard,14424,Sawatch Range,Mt. Columbia - Southeast Ridge,false,false,false,Mt. Columbia,Class 2,"4,800'",11.25 mi,Moderate,Moderate,Considerable,Moderate,colu5,10003,mount-harvard,2
3,Mount Harvard,14424,Sawatch Range,Mt. Columbia - Southwest Couloir,false,true,false,Mt. Columbia,Class 2 Moderate Snow,"4,800'",13.5 mi,Moderate,Moderate,Considerable,Moderate,colu6,10003,mount-harvard,2
3,Mount Harvard,14424,Sawatch Range,Mt. Harvard - South Face,false,true,true,Mt. Harvard,Class 2 Moderate Snow,"4,600'",13.75 mi,Moderate,Moderate,Considerable,Considerable,harv3,10003,mount-harvard,2
4,Blanca Peak,14350,Sangre de Cristo,Blanca Peak - Northwest Ridge,true,false,true,Blanca Peak,Difficult Class 2,"6,500'",17 mi,Considerable,Considerable,Moderate,Considerable,blan1,10004,blanca-peak,6
4,Blanca Peak,14350,Sangre de Cristo,Ellingwood Point - South Face,true,false,false,Ellingwood Point,Difficult Class 2,"6,200'",17 mi,Considerable,Considerable,Considerable,Considerable,elli2,10004,blanca-peak,6
4,Blanca Peak,14350,Sangre de Cristo,Little Bear Peak - West Ridge and Hourglass,true,false,false,Little Bear Peak,Class 4,"6,200'",14 mi,High,High,High,High,litt6,10004,blanca-peak,6
4,Blanca Peak,14350,Sangre de Cristo,Combo: Blanca and Ellingwood,false,false,false,COMBO,Class 3,"6,800'",18 mi,Considerable,Considerable,Considerable,Considerable,elli3,10004,blanca-peak,6
4,Blanca Peak,14350,Sangre de Cristo,Combo: Little Bear + Blanca Traverse,false,false,false,COMBO,Class 5,"8,000'",17 mi,Extreme,Considerable,High,Extreme,litt3,10004,blanca-peak,6
4,Blanca Peak,14350,Sangre de Cristo,Ellingwood Point - North Ridge via South Zapata Creek,false,false,false,Ellingwood Point,Easy Class 3,"5,200'",12.5 mi,Considerable,High,High,High,elli5,10004,blanca-peak,1
4,Blanca Peak,14350,Sangre de Cristo,Ellingwood Point - Southwest Ridge,false,false,false,Ellingwood Point,Class 3,"2,200'",15 mi,High,High,Considerable,Considerable,elli4,10004,blanca-peak,6
4,Blanca Peak,14350,Sangre de Cristo,Lake Como Approach,false,false,false,OTHER,Class 1,"3,900'",11 mi,Low,Low,Low,Low,como0,10004,blanca-peak,6
4,Blanca Peak,14350,Sangre de Cristo,Little Bear Peak - West Ridge Indirect,false,false,false,Little Bear Peak,Class 4,"6,200'",14 mi,Extreme,Considerable,High,High,litt8,10004,blanca-peak,6
5,La Plata Peak,14344,Sawatch Range,La Plata Peak - Northwest Ridge,true,false,true,La Plata Peak,Class 2,"4,400'",9.25 mi,Moderate,Moderate,Low,Moderate,lapl1,10005,la-plata-peak,0
5,La Plata Peak,14344,Sawatch Range,La Plata Peak - Ellingwood Ridge,false,false,true,La Plata Peak,Class 3,"5,900'",9.5 mi,High,High,High,High,lapl3,10005,la-plata-peak,0
5,La Plata Peak,14344,Sawatch Range,La Plata Peak - North Face,false,true,true,La Plata Peak,Difficult Class 2 Moderate Snow,"4,500'",8.75 mi,Considerable,Considerable,High,Considerable,lapl4,10005,la-plata-peak,0
5,La Plata Peak,14344,Sawatch Range,La Plata Peak - Southwest Ridge,false,false,true,La Plata Peak,Class 2,"3,600'",7.5 mi,Moderate,Considerable,Considerable,Moderate,lapl2,10005,la-plata-peak,3
6,Uncompahgre Peak,14318,San Juan Mountains,Uncompahgre Peak - South Ridge,true,false,true,Uncompahgre Peak,Class 2,"3,000'",7.5 mi,Moderate,Considerable,Moderate,Moderate,unco1,10006,uncompahgre-peak,3
7,Crestone Peak,14299,Sangre de Cristo,Crestone Needle - South Face,true,false,false,Crestone Needle,Class 4,"4,400'",12 mi,High,Considerable,High,Considerable,cnee1,10007,crestone-peak,4
7,Crestone Peak,14299,Sangre de Cristo,Crestone Peak - South Face,true,false,true,Crestone Peak,Class 3,"5,700'",14 mi,High,Considerable,Considerable,Considerable,cpea2,10007,crestone-peak,4
7,Crestone Peak,14299,Sangre de Cristo,Humboldt Peak - West Ridge,true,false,false,Humboldt Peak,Class 2,"4,200'",11 mi,Moderate,Moderate,Moderate,Low,humb1,10007,crestone-peak,4
7,Crestone Peak,14299,Sangre de Cristo,Combo: Crestones Traverse,false,false,false,COMBO,Class 5,"5,300'",14 mi,Extreme,Considerable,High,High,cnee3,10007,crestone-peak,4
7,Crestone Peak,14299,Sangre de Cristo,Crestone Needle - Ellingwood Arete/Ledges,false,false,false,Crestone Needle,Class 5,"4,400'",11.25 mi,Extreme,High,High,Extreme,cnee5,10007,crestone-peak,4
7,Crestone Peak,14299,Sangre de Cristo,Humboldt Peak - East Ridge,false,false,false,Humboldt Peak,Class 2,"4,300'",8 mi,Moderate,Moderate,Considerable,Moderate,humb2,10007,crestone-peak,3
7,Crestone Peak,14299,Sangre de Cristo,Humboldt Peak - Southeast Gully,false,true,false,Humboldt Peak,Class 2 Moderate Snow,"5,400'",8 mi,Moderate,Moderate,Considerable,Moderate,humb3,10007,crestone-peak,4
8,Mount Lincoln,14293,Mosquito Range,Combo: Decalibron,true,false,false,COMBO,Class 2,"3,500'",7.5 mi,Moderate,Moderate,Low,Moderate,bros6,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,Mt. Bross - West Slopes,true,false,false,Mt. Bross,Class 2,"2,250'",3.25 mi,Moderate,Moderate,Low,Low,bros2,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,Mt. Cameron - West Ridge,true,false,false,Mt. Cameron,Class 2,"2,250'",4.75 mi,Moderate,Moderate,Low,Low,came1,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,Mt. Democrat - East Slope,true,false,false,Mt. Democrat,Class 2,"2,150'",4 mi,Moderate,Moderate,Low,Low,demo1,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,Mt. Lincoln - West Ridge,true,false,true,Mt. Lincoln,Class 2,"2,600'",6 mi,Moderate,Moderate,Low,Low,linc1,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,"Mt. Bross - ""Dolly Varden Gully""",false,true,false,Mt. Bross,Class 2 Easy Snow,"2,900'",4 mi,Low,Moderate,Moderate,Moderate,bros4,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,"Mt. Bross - ""S Gully""",false,true,false,Mt. Bross,Class 2 Easy Snow,"2,600'",9.5 mi,Moderate,Moderate,Moderate,Moderate,bros3,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,Mt. Bross - East Slopes,false,false,false,Mt. Bross,Class 1,"2,900'",9 mi,Low,Low,Low,Low,bros1,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,Mt. Democrat - South Slope,false,true,false,Mt. Democrat,Difficult Class 2 Moderate Snow,"2,150'",2.5 mi,Considerable,Moderate,Considerable,Moderate,demo2,10008,mount-lincoln,2
8,Mount Lincoln,14293,Mosquito Range,Mt. Lincoln - East Slopes,false,false,true,Mt. Lincoln,Class 2,"2,650'",6.5 mi,Low,Moderate,Low,Low,linc3,10008,mount-lincoln,4
8,Mount Lincoln,14293,Mosquito Range,Mt. Lincoln - Lincoln Amphitheatre,false,false,true,Mt. Lincoln,Class 2,"3,400'",4.75 mi,Moderate,Considerable,Moderate,Moderate,linc2,10008,mount-lincoln,1
9,Grays Peak,14275,Front Range,Combo: Grays and Torreys,true,false,false,COMBO,Class 1,"3,600'",8.25 mi,Low,Low,Low,Moderate,torr5,10009,grays-peak,3
9,Grays Peak,14275,Front Range,Grays Peak - North Slopes,true,false,true,Grays Peak,Class 1,"3,000'",7.5 mi,Low,Low,Low,Low,gray1,10009,grays-peak,3
9,Grays Peak,14275,Front Range,Torreys Peak - South Slopes,true,false,false,Torreys Peak,Class 1,"3,000'",7.75 mi,Low,Low,Low,Low,torr2,10009,grays-peak,3
9,Grays Peak,14275,Front Range,Grays Peak - Lost Rat Couloir,false,true,true,Grays Peak,Class 3 Steep Snow,"3,000'",6.5 mi,Considerable,Considerable,Moderate,Considerable,gray6,10009,grays-peak,3
9,Grays Peak,14275,Front Range,Grays Peak - South Ridge,false,false,true,Grays Peak,Class 2,"3,250'",6.5 mi,Moderate,Moderate,Moderate,Moderate,gray3,10009,grays-peak,3
9,Grays Peak,14275,Front Range,Grays Peak - Southwest Ridge,false,false,true,Grays Peak,Class 2,"3,800'",10.25 mi,Moderate,Moderate,Moderate,Moderate,gray8,10009,grays-peak,4
9,Grays Peak,14275,Front Range,Torreys Peak - Dead Dog Couloir,false,true,false,Torreys Peak,Class 3 Steep Snow,"3,000'",6 mi,Considerable,Considerable,Moderate,Considerable,torr7,10009,grays-peak,3
9,Grays Peak,14275,Front Range,Torreys Peak - Emperor Couloir,false,true,false,Torreys Peak,Class 3 Steep Snow,"4,500'",9.5 mi,Considerable,Considerable,Considerable,Considerable,torr10,10009,grays-peak,4
9,Grays Peak,14275,Front Range,Torreys Peak - Kelso Ridge,false,false,false,Torreys Peak,Class 3,"3,100'",6.75 mi,High,Considerable,Considerable,Considerable,torr4,10009,grays-peak,3
9,Grays Peak,14275,Front Range,Torreys Peak - NW Face/Tuning Fork,false,true,false,Torreys Peak,Difficult Class 2 Moderate Snow,"4,500'",10.5 mi,Moderate,Considerable,Considerable,Considerable,torr9,10009,grays-peak,4
9,Grays Peak,14275,Front Range,Torreys Peak - West Ridge,false,false,false,Torreys Peak,Class 2,"5,500'",10 mi,Moderate,Moderate,Moderate,Considerable,torr11,10009,grays-peak,0
10,Castle Peak,14274,Elk Mountains,Castle Peak - Northeast Ridge,true,false,true,Castle Peak,Difficult Class 2,"4,600'",13.5 mi,Considerable,Considerable,Considerable,Considerable,cast1,10012,castle-peak,4
10,Castle Peak,14274,Elk Mountains,Combo: Castle and Conundrum,true,false,false,COMBO,Difficult Class 2,"4,850'",14.5 mi,Considerable,Considerable,Considerable,Considerable,cast4,10012,castle-peak,4
10,Castle Peak,14274,Elk Mountains,Conundrum Peak - South Ridge,true,false,false,Conundrum Peak,Difficult Class 2,"4,400'",13.5 mi,Considerable,Considerable,Moderate,Moderate,conu1,10012,castle-peak,4
10,Castle Peak,14274,Elk Mountains,Castle Peak - North Face Couloir,false,true,true,Castle Peak,Difficult Class 2 Moderate Snow,"4,600'",13 mi,Considerable,Considerable,Moderate,Moderate,cast3,10012,castle-peak,4
10,Castle Peak,14274,Elk Mountains,Castle Peak - Northwest Ridge,false,true,true,Castle Peak,Difficult Class 2 Moderate Snow,"4,600'",13.5 mi,Considerable,Considerable,Moderate,Moderate,cast2,10012,castle-peak,4
10,Castle Peak,14274,Elk Mountains,Conundrum Peak - Conundrum Couloir,false,true,false,Conundrum Peak,Class 3 Steep Snow,"4,400'",12 mi,High,Considerable,Moderate,Considerable,conu5,10012,castle-peak,4
11,Quandary Peak,14272,Tenmile Range,Quandary Peak - East Ridge,true,false,true,Quandary Peak,Class 1,"3,450'",6.75 mi,Low,Low,Low,Low,quan1,10013,quandary-peak,1
11,Quandary Peak,14272,Tenmile Range,Quandary Peak - North Gully aka Quandary Couloir,false,true,true,Quandary Peak,Class 3 Steep Snow,"3,250'",5.25 mi,Considerable,Considerable,Moderate,Considerable,quan4,10013,quandary-peak,2
11,Quandary Peak,14272,Tenmile Range,Quandary Peak - South Gully aka Cristo Couloir,false,true,true,Quandary Peak,Difficult Class 2 Moderate Snow,"2,900'",3.5 mi,Moderate,Considerable,Moderate,Low,quan2,10013,quandary-peak,2
11,Quandary Peak,14272,Tenmile Range,Quandary Peak - West Ridge,false,false,true,Quandary Peak,Class 3,"2,650'",4 mi,High,Considerable,Considerable,High,quan3,10013,quandary-peak,2
12,Torreys Peak,14272,Front Range,Combo: Grays and Torreys,true,false,false,COMBO,Class 1,"3,600'",8.25 mi,Low,Low,Low,Moderate,torr5,10011,torreys-peak,3
12,Torreys Peak,14272,Front Range,Grays Peak - North Slopes,true,false,false,Grays Peak,Class 1,"3,000'",7.5 mi,Low,Low,Low,Low,gray1,10011,torreys-peak,3
12,Torreys Peak,14272,Front Range,Torreys Peak - South Slopes,true,false,true,Torreys Peak,Class 1,"3,000'",7.75 mi,Low,Low,Low,Low,torr2,10011,torreys-peak,3
12,Torreys Peak,14272,Front Range,Grays Peak - Lost Rat Couloir,false,true,false,Grays Peak,Class 3 Steep Snow,"3,000'",6.5 mi,Considerable,Considerable,Moderate,Considerable,gray6,10011,torreys-peak,3
12,Torreys Peak,14272,Front Range,Grays Peak - South Ridge,false,false,false,Grays Peak,Class 2,"3,250'",6.5 mi,Moderate,Moderate,Moderate,Moderate,gray3,10011,torreys-peak,3
12,Torreys Peak,14272,Front Range,Grays Peak - Southwest Ridge,false,false,false,Grays Peak,Class 2,"3,800'",10.25 mi,Moderate,Moderate,Moderate,Moderate,gray8,10011,torreys-peak,4
12,Torreys Peak,14272,Front Range,Torreys Peak - Dead Dog Couloir,false,true,true,Torreys Peak,Class 3 Steep Snow,"3,000'",6 mi,Considerable,Considerable,Moderate,Considerable,torr7,10011,torreys-peak,3
12,Torreys Peak,14272,Front Range,Torreys Peak - Emperor Couloir,false,true,true,Torreys Peak,Class 3 Steep Snow,"4,500'",9.5 mi,Considerable,Considerable,Considerable,Considerable,torr10,10011,torreys-peak,4
12,Torreys Peak,14272,Front Range,Torreys Peak - Kelso Ridge,false,false,true,Torreys Peak,Class 3,"3,100'",6.75 mi,High,Considerable,Considerable,Considerable,torr4,10011,torreys-peak,3
12,Torreys Peak,14272,Front Range,Torreys Peak - NW Face/Tuning Fork,false,true,true,Torreys Peak,Difficult Class 2 Moderate Snow,"4,500'",10.5 mi,Moderate,Considerable,Considerable,Considerable,torr9,10011,torreys-peak,4
12,Torreys Peak,14272,Front Range,Torreys Peak - West Ridge,false,false,true,Torreys Peak,Class 2,"5,500'",10 mi,Moderate,Moderate,Moderate,Considerable,torr11,10011,torreys-peak,0
13,Mount Antero,14271,Sawatch Range,Mt. Antero - West Slopes,true,false,true,Mt. Antero,Class 2,"5,200'",15.5 mi,Moderate,Moderate,Low,Moderate,ante1,10010,mount-antero,4
